20	0.51	0.71	0.9	0	0	0	0	0	0	0	0	0
40	1	1.6	1.8	0	0	0	0	0	0	0	0	0
60	1.2	1.95	2.4	0	0	0	0	0	0	0	0	0
80	1.45	2.15	2.8	0	0	0	0	0	0	0	0	0
100	1.75	2.4	3.2	0	0	0	0	0	0	0	0	0
200	3.5	4.1	5.2	0	0	0	0	0	0	0	0	0
300	5.4	5.8	7.2	0	0	0	0	0	0	0	0	0
400	6	6.4	8.2	0	0	0	0	0	0	0	0	0
500	6.3	6.8	8.5	0	0	0	0	0	0	0	0	10.5
750	8	8.5	10.5	0	0	0	0	0	0	0	0	0
1000	9	10	12.8	0	0	0	0	0	0	0	0	0
1200	10	11	15.8	0	0	0	0	0	0	0	0	0
1500	11	12	18.1	0	0	0	0	0	0	0	0	0
1750	12	13	19.5	0	0	0	0	0	0	0	0	0
2000	12.5	14	20.5	0	0	0	0	0	0	0	0	0
5000	50	60	70	0	0	0	0	0	0	0	0	0
4500	30	35	40	0	0	0	0	0	0	0	0	0
4000	25	26	28	0	0	0	0	0	0	0	0	0
3500	21	23	24	0	0	0	0	0	0	0	0	0
3000	13	15	22	0	0	0	0	0	0	0	0	0
50000	100	150	200	0	0	0	0	0	0	0	0	0
10000	60	70	80	0	0	0	0	0	0	0	0	0
999999	9999	9999	9999	0	0	0	0	0	0	0	0	0
